id,Vcmax,Jmax,Rd,TPU,Vcmax_SE,Jmax_SE,Rd_SE,TPU_SE,rep,site,elevation,species,lma
sen_gothic_r2,32.20520844,64.49519025,1.991354555,4.434049236,0.94798223,NA,0.237730539,NA,2,gothic,2896,senbig,
sen.gothic.r3,23.83566002,70.82849821,-3.901623032,5.702441699,0.289400145,NA,0.10161714,NA,3,gothic,2896,senbig,
taroff_gothic_r1,52.00896463,123.710164,0.77735779,NA,0.55783401,NA,0.120706371,NA,1,gothic,2896,taroff,
taroff_gothic_r2,65.46812838,134.5584463,3.060374624,9.475664617,0.99434795,NA,0.219031751,NA,2,gothic,2896,taroff,
taroff.gothic.r3,75.98538202,175.6871413,1.962963404,11.49988477,0.601978368,NA,0.117276763,NA,3,gothic,2896,taroff,
vercal_gothic_r1,48.45233051,101.0382888,4.797441094,7.393638118,0.847898384,NA,0.202117098,NA,1,gothic,2896,vercal,
vercal_gothic_r2,56.25949795,109.2036649,3.691243684,NA,1.442123067,NA,0.311727325,NA,2,gothic,2896,vercal,
vercal.gothic.r3,43.5350439,108.1678953,-2.999843126,NA,0.879992473,NA,0.209447404,NA,3,gothic,2896,vercal,
helqui_r1_pfeiler,131.7494848,266.4072437,-0.189387492,16.43099248,1.128963424,NA,0.192196536,NA,1,pfeiler,3155,helqui,77.06480305
helqui_pfeiler_r2,121.0930182,280.5792886,-0.950388427,NA,0.996825391,NA,0.235473157,NA,2,pfeiler,3155,helqui,64.94816989
helqui.r3_pfeiler,115.722564,280.818858,5.076688198,NA,2.403346688,NA,0.457415876,NA,3,pfeiler,3155,helqui,55.33858832
hersph_r1_pfeiler,38.12434755,76.13886477,0.723257066,5.190550348,0.429536837,NA,0.093270426,NA,1,pfeiler,3155,hersph,36.6711154
hersph.r3_pfeiler,92.3757962,186.0527967,2.02657157,11.75400731,0.571365352,NA,0.132314124,NA,3,pfeiler,3155,hersph,50.99299031
hersph_r4_pfeiler,41.66814893,87.20805145,0.790647989,6.355373501,0.495487609,NA,0.10933305,NA,4,pfeiler,3155,hersph,35.71066333
hymhoo_r1_pfeiler,70.63132288,139.1663667,0.181340808,9.551506459,0.764651838,NA,0.144084867,NA,1,pfeiler,3155,hymhoo,56.00189036
hymhoo_pfeiler_r2,63.0449197,137.7063611,-1.854262296,9.710240511,0.802737482,NA,0.201066774,NA,2,pfeiler,3155,hymhoo,65.55315041
hymhoo.r3_pfeiler,77.10668142,161.6892116,0.966871542,10.65741633,0.538671715,NA,0.124460074,NA,3,pfeiler,3155,hymhoo,63.32391714
ligpor_r1_redo2_pfeiler,124.8195676,302.2398064,3.751424874,17.88721025,1.235113626,NA,0.31882768,NA,1,pfeiler,3155,ligpor,67.83276451
ligpor_pfeiler_r2,54.45648116,113.0175494,-0.110703057,7.276558282,1.352884956,NA,0.312094765,NA,2,pfeiler,3155,ligpor,71.98205546
ligpor.r3_pfeiler,61.88156062,148.6348035,1.168442475,11.24912892,0.577254224,NA,0.124994058,NA,3,pfeiler,3155,ligpor,78.27911857
lupbak_pfeiler_r2,86.32470314,211.7645183,0.44275286,14.39740759,0.818879321,NA,0.212396405,NA,2,pfeiler,3155,lupbak,50.56613484
lupbak.r3_pfeiler,86.72932011,202.6852414,2.884210794,NA,0.446541295,NA,0.11569457,NA,3,pfeiler,3155,lupbak,50.87358684
lupbak.r4_pfeiler,97.80767861,199.989226,0.097817862,12.78236897,0.65987256,NA,0.142754026,NA,4,pfeiler,3155,lupbak,58.43013024
mercil_r1_pfeiler,131.7653381,269.3675238,1.879586284,NA,1.977794486,NA,0.406315689,NA,1,pfeiler,3155,mercil,58.15337528
mercil_pfeiler_r2,80.33525623,162.4831795,0.135056848,11.16869581,1.460493557,NA,0.305857091,NA,2,pfeiler,3155,mercil,41.36821542
mercil.r3_pfeiler,103.2999206,198.3918757,3.070617238,13.16959277,1.138918364,NA,0.221243394,NA,3,pfeiler,3155,mercil,45.31774763
pogra_r1_pfeiler,78.38057694,174.4219603,0.861825113,NA,0.607538333,NA,0.145472959,NA,1,pfeiler,3155,potgra,56.52045923
potgra_pfeiler_r2,49.16982642,93.47016204,-1.937543197,NA,0.899721384,NA,0.203733038,NA,2,pfeiler,3155,potgra,71.48320701
potgra.r3_pfeiler,74.76793164,153.1844854,1.049470247,10.24803651,0.4916798,NA,0.115967041,NA,3,pfeiler,3155,potgra,64.77018926
vercal_r1_pfeiler,68.79954972,111.9135716,2.513596715,NA,1.502673828,NA,0.215529424,NA,1,pfeiler,3155,vercal,55.74707171
vercal_pfeiler_r2,47.37401897,107.145671,1.134787634,NA,0.608058409,NA,0.125964917,NA,2,pfeiler,3155,vercal,53.60935557
vercal.r3_pfeiler,67.27948831,125.5195469,4.186034938,8.691194066,1.677613233,NA,0.36792369,NA,3,pfeiler,3155,vercal,55.96348598
corcas_r1_redo_pbm,23.82898452,63.66248367,-7.003464307,NA,0.734008616,NA,0.274029027,NA,1,painterboy,3380,corcas,34.22370618
corcas_pbm_r2,39.11618273,101.2431668,0.039163632,NA,0.773115934,NA,0.271393835,NA,2,painterboy,3380,corcas,32.83723128
corcas_pbm_enq_r3,81.50840465,208.9922983,-2.87151021,NA,1.193054224,NA,0.366610961,NA,3,painterboy,3380,corcas,42.24961906
erygra_r1_pbm,19.43097107,840443.771,-0.938341513,6.083602082,0.584443337,NA,0.216600623,NA,1,painterboy,3380,erygra,52.16004859
erygra_pbm_r2,38.81511616,93.89974593,0.595079854,NA,0.634249381,NA,0.150453972,NA,2,painterboy,3380,erygra,47.68463371
erygra_pbm_enq_r3,26.5036117,1000304.964,-3.744609447,3.717072191,1.212969286,NA,0.32040765,NA,3,painterboy,3380,erygra,61.33756543
hymhoo_r1_pbm,59.50008355,142.5149,-4.437822849,NA,0.773626579,NA,0.232571798,NA,1,painterboy,3380,hymhoo,53.32010436
hymhow_pbm_r2,56.86224258,124.0596398,-1.966607836,NA,0.829357119,NA,0.212151578,NA,2,painterboy,3380,hymhoo,55.00485909
hymhoo_pbm_enq_r3,58.89867115,128.6502503,-5.416933139,8.64871822,1.536553005,NA,0.408255954,NA,3,painterboy,3380,hymhoo,49.11089838
mercil_r1_pbm,58.00123773,134.1185394,-4.23348214,NA,0.860270773,NA,0.236511952,NA,1,painterboy,3380,mercil,31.30995632
mercil_pbm_r2,66.27995596,147.6754613,-0.984390487,10.33738483,1.509810711,NA,0.420248074,NA,2,painterboy,3380,mercil,35.98130841
mercil_pbm_enq_r3,48.466648,103.6077389,-3.373122296,7.375608766,1.115887296,NA,0.286553697,NA,3,painterboy,3380,mercil,35.55182308
vercal_r1_pbm,39.49919402,85.35266289,-4.256901891,NA,1.38593218,NA,0.379951443,NA,1,painterboy,3380,vercal,55.63800542
vercal_pbm_r2,57.0262887,121.5006242,-0.13495247,8.234452423,0.815852814,NA,0.217314617,NA,2,painterboy,3380,vercal,56.34999894
