,sample,site,species,rep,leaf.id,total.leaf.area,area.less.than.6cm2
94,road_arttri_r3,road,artrri,3,,6.401,FALSE
95,road_arttri_r4,road,artrri,4,,2.032,TRUE
96,road_hymhoo_r1,road,hymhoo,1,,5.531,TRUE
97,road_hymhoo_r2,road,hymhoo,2,,24.129,FALSE
98,road_hymhoo_r3,road,hymhoo,3,,8.764,FALSE
99,road_lupbak_r1,road,lupbak,1,,3.484,TRUE
100,road_lupbak_r2,road,lupbak,2,,7.008,FALSE
101,road_lupbak_r3,road,lupbak,3,,4.223,TRUE
102,road_potfru_r1,road,potfru,1,,1.232,TRUE
103,road_potfru_r2,road,potfru,2,,2.252,TRUE
104,road_potfru_r3,road,potfru,3,,2.647,TRUE
105,road_potpul_r1,road,potpul,1,,0.716,TRUE
106,road_potpul_r3,road,potpul,3,,0.733,TRUE
107,road_taroff_r1,road,taroff,1,,42.859,FALSE
108,road_taroff_r2,road,taroff,2,,22.233,FALSE
109,road_taroff_r3,road,taroff,3,,65.418,FALSE
110,road_vercal_r1,road,vercal,1,,156.115,FALSE
111,road_vercal_r2,road,vercal,2,,185.322,FALSE
112,road_vercal_r3,road,vercal,3,,227.754,FALSE
