Latitude: 36.654554  Longitude: -106.860899
X & Y on Lambert Conformal Conic: -588131.34 -596176.65
Tile: 11377
Elevation: 2213 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,58,39937.05,0.00,501.87,45.49,8.93,-12.29,176.48
2022,59,40074.63,0.00,504.41,45.49,13.35,-7.97,227.97
2022,60,40212.80,0.00,500.95,45.29,15.28,-5.53,266.71
2022,61,40351.53,0.00,505.32,44.65,16.57,-4.47,280.35
2022,62,40490.78,0.00,498.12,43.96,15.96,-4.37,287.31
2022,63,40630.54,0.00,409.68,42.61,11.69,-2.80,383.17
2022,64,40770.76,3.46,195.38,41.60,4.72,-3.59,468.35
2022,65,40911.42,2.61,246.18,44.22,2.59,-7.82,339.29
2022,66,41052.50,2.13,299.86,46.35,1.60,-11.31,257.52
2022,67,41193.96,0.00,458.02,46.35,1.14,-14.18,183.80
2022,68,41335.77,0.00,397.39,46.35,1.52,-10.72,253.56
2022,69,41477.92,0.00,338.55,46.35,1.90,-7.91,331.61
2022,70,41620.36,0.00,490.11,46.35,3.82,-12.08,200.27
2022,71,41763.08,0.00,562.99,46.35,9.15,-12.21,167.08
2022,72,41906.06,0.00,519.88,46.35,8.85,-8.65,228.69
2022,73,42049.25,0.00,534.89,46.35,12.48,-6.04,255.20
2022,74,42192.64,0.00,554.67,46.35,13.09,-6.72,232.85
2022,75,42336.21,0.00,536.90,45.51,14.21,-4.00,286.03
2022,76,42479.92,5.30,243.41,44.06,6.33,-2.56,506.01
2022,77,42623.76,0.00,538.67,44.06,10.45,-7.31,247.84
2022,78,42767.70,0.00,557.39,44.06,11.30,-7.86,228.62
2022,79,42911.70,0.00,504.98,43.61,10.76,-4.91,306.00
2022,80,43055.76,4.25,275.13,42.03,7.79,-2.25,513.99
2022,81,43199.84,4.39,332.30,41.94,6.65,-5.78,381.38
